Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
2;1143682;Поступление зарплаты на счет;Другое;1;0.59;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;66;31;Торговля;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.75;3;1;88;4;1;0;27;44;0;0;0;0;0;0;0
2;1143702;Форма банка (без печати работодателя);Покупка автомобиля;1;0.43;мужской;0;0;среднее-специальное;рабочий;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143722;2НДФЛ;Ремонт;1;0.56;женский;2;0;среднее;вспомогательный персонал;>250;3;111;35;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143742;Форма банка (без печати работодателя);Покупка мебели;0;0.35;мужской;0;0;высшее;менеджер среднего звена;>250;0;18;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143762;2НДФЛ;Ремонт;1;0.52;мужской;0;0;высшее;вспомогательный персонал;>250;0;124;54;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143782;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;0;0.51;мужской;0;0;высшее;менеджер среднего звена;>250;0;176;40;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143802;Свободная форма с печатью работодателя;Ремонт;0;0.44;мужской;0;0;высшее;менеджер высшего звена;>250;0;18;50;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143822;2НДФЛ;Ремонт;0;0.48;мужской;0;0;высшее;менеджер по продажам;>250;0;28;27;Торговля;ООО;женат / замужем;3;3;2;2;0;0;1;2;1;1;1;4;0;17;4;2;0;0;15;0;0;0;0;0;0;0
2;1143842;2НДФЛ;Покупка недвижимости/ строительство;0;0.46;женский;1;0;среднее-специальное;специалист;>250;0;6;40;Торговля;ООО;женат / замужем;1;1;1;1;1;0.0106951872;0;0;0;0;0.2222222222;2;7;185;9;0;1;41;92;1;0;0;0;0;0;0
2;1143862;2НДФЛ;Ремонт;0;0.45;женский;0;0;высшее;специалист;>250;0;9;46;Другое;ООО;холост / не замужем;5;5;2;2;2;0;0;2;2;2;0.2222222222;2;7;119;9;2;0;1;88;0;0;0;0;0;0;0
2;1143882;2НДФЛ;Ремонт;0;0.55;мужской;0;0;высшее;рабочий;>250;0;105;54;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143902;2НДФЛ;Ремонт;1;0.59;женский;0;0;среднее-специальное;рабочий;>250;1;109;49;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143922;Поступление зарплаты на счет;Ремонт;1;0.32;мужской;0;0;высшее;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143942;Свободная форма с печатью работодателя;Ремонт;1;0.48;мужской;0;0;высшее;специалист;>250;1;25;29;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;3;0;0;0.6666666667;4;2;62;6;2;0;4;66;0;0;0;0;0;0;0
2;1143962;Свободная форма с печатью работодателя;Покупка автомобиля;0;0.42;женский;0;0;второе высшее;менеджер среднего звена;>250;0;71;40;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.5;2;2;28;4;0;1;9;41;0;0;0;0;0;0;0
2;1143982;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.27;мужской;0;0;среднее;вспомогательный персонал;>250;0;28;26;Торговля;ОАО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;3;37;3;0;2;6;61;0;0;0;0;0;0;0
2;1144002;Форма банка (без печати работодателя);Ремонт;0;0.38;женский;0;0;высшее;менеджер среднего звена;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144022;2НДФЛ;Ремонт;1;0.59;мужской;0;0;среднее-специальное;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144042;Поступление зарплаты на счет;Покупка автомобиля;1;0.5;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;0;10;23;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144062;Поступление зарплаты на счет;Ремонт;0;0.46;женский;0;0;высшее;менеджер среднего звена;>250;1;80;48;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
